Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
09-DEC-2019,13.64,15.3625,12.465,14.5975,13.64,0.96,7.02
10-DEC-2019,14.5975,15.6625,11.735,14.29,14.5975,-0.31,-2.11
11-DEC-2019,14.29,14.4475,11.71,13.3775,14.29,-0.91,-6.39
12-DEC-2019,13.3775,13.765,11.825,13.3475,13.3775,-0.03,-0.22
13-DEC-2019,13.3475,14.67,12.185,13.3,13.3475,-0.05,-0.36
16-DEC-2019,13.3,14.11,12.5,13.415,13.3,0.12,0.86
17-DEC-2019,13.415,13.425,11.955,12.5175,13.415,-0.90,-6.69
18-DEC-2019,12.5175,12.715,11.39,12.3375,12.5175,-0.18,-1.44
19-DEC-2019,12.3375,12.415,11.325,12.1225,12.3375,-0.22,-1.74
20-DEC-2019,12.1225,12.7325,11.9025,12.325,12.1225,0.20,1.67
23-DEC-2019,12.325,14.505,10.695,11.9575,12.325,-0.37,-2.98
24-DEC-2019,11.9575,13.31,10.8875,11.625,11.9575,-0.33,-2.78
26-DEC-2019,11.625,12.3475,10.8425,11.1225,11.625,-0.50,-4.32
27-DEC-2019,11.1225,11.4675,10.425,10.525,11.1225,-0.60,-5.37
30-DEC-2019,10.525,11.4525,9.6175,11.0075,10.525,0.48,4.58
31-DEC-2019,11.0075,11.7925,10.44,11.6675,11.0075,0.66,6.00
01-JAN-2020,11.6675,11.73,11.085,11.5975,11.6675,-0.07,-0.60
02-JAN-2020,11.5975,11.7,10.73,11.49,11.5975,-0.11,-0.93
03-JAN-2020,11.49,12.94,10.685,12.695,11.49,1.21,10.49
06-JAN-2020,12.695,15.095,12.695,14.7775,12.695,2.08,16.40
07-JAN-2020,14.7775,14.9125,14.4625,14.61,14.7775,-0.17,-1.13
08-JAN-2020,14.61,16.3875,13.7925,15.64,14.61,1.03,7.05
09-JAN-2020,15.64,15.64,12.995,13.9975,15.64,-1.64,-10.50
10-JAN-2020,13.9975,14.245,13.1775,14.0775,13.9975,0.08,0.57
13-JAN-2020,14.0775,14.495,13.5775,14.275,14.0775,0.20,1.40
14-JAN-2020,14.275,14.275,13.0625,13.9125,14.275,-0.36,-2.54
15-JAN-2020,13.9125,14.4575,13.585,14.12,13.9125,0.21,1.49
16-JAN-2020,14.12,14.365,12.5975,14.1825,14.12,0.06,0.44
17-JAN-2020,14.1825,14.53,12.5025,14.1275,14.1825,-0.06,-0.39
20-JAN-2020,14.1275,15.495,12.465,15.41,14.1275,1.28,9.08
21-JAN-2020,15.41,16.04,15.0725,15.8625,15.41,0.45,2.94
22-JAN-2020,15.8625,16.61,15.3575,16.36,15.8625,0.50,3.14
23-JAN-2020,16.36,16.7075,15.7775,15.855,16.36,-0.51,-3.09
24-JAN-2020,15.855,16.215,14.5925,15.56,15.855,-0.30,-1.86
27-JAN-2020,15.56,17.34,14.6825,17.175,15.56,1.62,10.38
28-JAN-2020,17.175,17.615,16.9575,17.2975,17.175,0.12,0.71
29-JAN-2020,17.2975,17.2975,15.6525,16.4975,17.2975,-0.80,-4.62
30-JAN-2020,16.4975,17.14,15.38,16.7975,16.4975,0.30,1.82
31-JAN-2020,16.7975,17.59,14.9025,17.3675,16.7975,0.57,3.39
01-FEB-2020,17.3675,17.93,16.0325,16.835,17.3675,-0.53,-3.07
03-FEB-2020,16.835,17.03,15.4825,15.7825,16.835,-1.05,-6.25
04-FEB-2020,15.7825,15.7825,14.31,14.38,15.7825,-1.40,-8.89
05-FEB-2020,14.38,14.525,13.8175,14.1725,14.38,-0.21,-1.44
06-FEB-2020,14.1725,14.2425,12.645,13.78,14.1725,-0.39,-2.77
07-FEB-2020,13.78,13.9925,12.975,13.7475,13.78,-0.03,-0.24
10-FEB-2020,13.7475,14.6,12.965,14.21,13.7475,0.46,3.36
11-FEB-2020,14.21,14.21,11.375,13.88,14.21,-0.33,-2.32
12-FEB-2020,13.88,13.88,13.1475,13.6225,13.88,-0.26,-1.86
13-FEB-2020,13.6225,13.6725,11.8,13.37,13.6225,-0.25,-1.85
14-FEB-2020,13.37,13.9875,11.9025,13.615,13.37,0.25,1.83
17-FEB-2020,13.615,14.6175,13.38,14.415,13.615,0.80,5.88
18-FEB-2020,14.415,14.82,11.375,14.51,14.415,0.10,0.66
19-FEB-2020,14.51,14.51,13.4825,14.0225,14.51,-0.49,-3.36
20-FEB-2020,14.0225,14.0275,10.165,13.7,14.0225,-0.32,-2.30
24-FEB-2020,13.7,17.375,12.295,16.9975,13.7,3.30,24.07
25-FEB-2020,16.9975,17.3175,15.62,16.8975,16.9975,-0.10,-0.59
26-FEB-2020,16.8975,18.865,16.5025,18.26,16.8975,1.36,8.06
27-FEB-2020,18.26,19.155,16.8275,17.765,18.26,-0.50,-2.71
28-FEB-2020,17.765,23.6975,17.4825,23.235,17.765,5.47,30.79
02-MAR-2020,23.235,26.3425,19.92,25.2025,23.235,1.97,8.47
03-MAR-2020,25.2025,26.49,21.5425,24.5425,25.2025,-0.66,-2.62
04-MAR-2020,24.5425,26.2875,22.425,24.225,24.5425,-0.32,-1.29
05-MAR-2020,24.225,24.225,22.125,23.2475,24.225,-0.98,-4.04
06-MAR-2020,23.2475,27.55,23.2475,25.6425,23.2475,2.40,10.30
09-MAR-2020,25.6425,34.355,21.425,30.8,25.6425,5.16,20.11
11-MAR-2020,30.8,33.2375,29.65,31.555,30.8,0.76,2.45
12-MAR-2020,31.555,42.3275,29.81,41.1625,31.555,9.61,30.45
13-MAR-2020,41.1625,59.4825,41.1625,51.4725,41.1625,10.31,25.05
16-MAR-2020,51.4725,59.865,51.4725,58.875,51.4725,7.40,14.38
17-MAR-2020,58.875,63.44,57.25,62.925,58.875,4.05,6.88
18-MAR-2020,62.925,64.5775,61.1525,63.955,62.925,1.03,1.64
19-MAR-2020,63.955,73.3425,63.095,72.1975,63.955,8.24,12.89
20-MAR-2020,72.1975,72.965,65.38,67.1,72.1975,-5.10,-7.06
23-MAR-2020,67.1,73.3675,66.3175,71.985,67.1,4.89,7.28
24-MAR-2020,71.985,86.635,71.985,83.6075,71.985,11.62,16.15
25-MAR-2020,83.6075,84.5975,75.9725,77.625,83.6075,-5.98,-7.16
26-MAR-2020,77.625,79.405,70.675,71.5325,77.625,-6.09,-7.85
27-MAR-2020,71.5325,73.03,65.6325,70.385,71.5325,-1.15,-1.60
30-MAR-2020,70.385,73.365,70.28,71.89,70.385,1.51,2.14
31-MAR-2020,71.89,71.89,63.6075,64.4075,71.89,-7.48,-10.41
01-APR-2020,64.4075,64.4075,59.78,60.0525,64.4075,-4.36,-6.76
03-APR-2020,60.0525,60.59,54.9,55.3025,60.0525,-4.75,-7.91
07-APR-2020,55.3025,55.3025,49.9425,51.8,55.3025,-3.50,-6.33
08-APR-2020,51.8,53.7325,46.975,52.2425,51.8,0.44,0.85
09-APR-2020,52.2425,52.2425,46.9025,49.745,52.2425,-2.50,-4.78
13-APR-2020,49.745,52.4925,43.635,51.4575,49.745,1.71,3.44
15-APR-2020,51.4575,51.4575,44.6475,49.735,51.4575,-1.72,-3.35
16-APR-2020,49.735,49.735,42.255,46.095,49.735,-3.64,-7.32
17-APR-2020,46.095,46.095,40.305,42.5925,46.095,-3.50,-7.60
20-APR-2020,42.5925,44.0375,40.295,43.455,42.5925,0.86,2.03
21-APR-2020,43.455,45.9625,36.215,45.1975,43.455,1.74,4.01
22-APR-2020,45.1975,45.425,40.465,42.8225,45.1975,-2.38,-5.25
23-APR-2020,42.8225,42.8225,36.9975,39.23,42.8225,-3.59,-8.39
