stock_a,stock_b,sector_a,sector_b,same_sector,mechanism,r,trace_stat,trace_crit_95,maxeig_stat,maxeig_crit_95,beta_a,beta_b,alpha_a,alpha_b,halflife_days,spread_mean,spread_std,raw_cointegrated,raw_trace_stat,resid_cointegrated,resid_trace_stat,cointegrated
TCS,HINDUNILVR,IT,FMCG,False,cross-sector — no economic anchor,0,18.8778,15.4943,11.7961,14.2639,,,,,,,,False,11.253,False,18.8778,False
AXISBANK,HINDUNILVR,Financials,FMCG,False,cross-sector — no economic anchor,0,18.8142,15.4943,10.8387,14.2639,,,,,,,,False,11.8591,False,18.8142,False
TCS,BAJFINANCE,IT,Financials,False,cross-sector — no economic anchor,0,18.566,15.4943,14.0334,14.2639,,,,,,,,True,18.7794,False,18.566,False
TCS,AXISBANK,IT,Financials,False,cross-sector — no economic anchor,0,18.5072,15.4943,11.9424,14.2639,,,,,,,,False,11.3052,False,18.5072,False
TCS,MARUTI,IT,Auto,False,cross-sector — no economic anchor,1,18.4208,15.4943,16.2227,14.2639,1.0,-0.1978,-0.0165,0.0072,37.1,81.1121,6.9961,False,16.0076,True,18.4208,False
AXISBANK,MARUTI,Financials,Auto,False,cross-sector — no economic anchor,1,18.251,15.4943,16.119,14.2639,1.0,0.2696,-0.0172,-0.0016,36.4,132.8128,5.6033,False,11.8391,True,18.251,False
HDFCBANK,ONGC,Financials,Energy,False,cross-sector — no economic anchor,0,18.2388,15.4943,13.2084,14.2639,,,,,,,,False,6.4009,False,18.2388,False
ICICIBANK,ONGC,Financials,Energy,False,cross-sector — no economic anchor,0,17.6508,15.4943,13.5413,14.2639,,,,,,,,False,11.6394,False,17.6508,False
TCS,SUNPHARMA,IT,Pharma,False,cross-sector — no economic anchor,0,17.6257,15.4943,13.1326,14.2639,,,,,,,,False,15.3633,False,17.6257,False
INFY,SUNPHARMA,IT,Pharma,False,cross-sector — no economic anchor,0,17.6204,15.4943,13.3658,14.2639,,,,,,,,False,11.3839,False,17.6204,False
ICICIBANK,BAJFINANCE,Financials,Financials,True,"shared rate cycle, credit growth & deposit dynamics",0,17.247,15.4943,10.8494,14.2639,,,,,,,,False,9.5834,False,17.247,False
RELIANCE,TCS,Energy,IT,False,cross-sector — no economic anchor,0,17.2415,15.4943,13.8109,14.2639,,,,,,,,False,9.8904,False,17.2415,False
MARUTI,SUNPHARMA,Auto,Pharma,False,cross-sector — no economic anchor,0,17.2229,15.4943,13.3999,14.2639,,,,,,,,False,7.2183,False,17.2229,False
BAJFINANCE,HINDUNILVR,Financials,FMCG,False,cross-sector — no economic anchor,0,17.1822,15.4943,13.8008,14.2639,,,,,,,,False,6.2296,False,17.1822,False
HDFCBANK,HINDUNILVR,Financials,FMCG,False,cross-sector — no economic anchor,0,17.119,15.4943,12.531,14.2639,,,,,,,,False,8.3071,False,17.119,False
ICICIBANK,MARUTI,Financials,Auto,False,cross-sector — no economic anchor,0,16.9775,15.4943,14.0122,14.2639,,,,,,,,False,14.9608,False,16.9775,False
ICICIBANK,SUNPHARMA,Financials,Pharma,False,cross-sector — no economic anchor,0,16.9019,15.4943,12.9578,14.2639,,,,,,,,False,6.2291,False,16.9019,False
RELIANCE,ONGC,Energy,Energy,True,shared crude-oil & energy-policy exposure,0,16.8696,15.4943,13.2671,14.2639,,,,,,,,False,11.2664,False,16.8696,False
HINDUNILVR,SUNPHARMA,FMCG,Pharma,False,cross-sector — no economic anchor,0,16.8361,15.4943,12.8523,14.2639,,,,,,,,False,7.8927,False,16.8361,False
INFY,AXISBANK,IT,Financials,False,cross-sector — no economic anchor,0,16.788,15.4943,11.2917,14.2639,,,,,,,,False,12.9576,False,16.788,False
BAJFINANCE,MARUTI,Financials,Auto,False,cross-sector — no economic anchor,0,16.4647,15.4943,12.0134,14.2639,,,,,,,,False,10.3095,False,16.4647,False
INFY,BAJFINANCE,IT,Financials,False,cross-sector — no economic anchor,0,16.4515,15.4943,12.6644,14.2639,,,,,,,,False,11.2756,False,16.4515,False
DRREDDY,ONGC,Pharma,Energy,False,cross-sector — no economic anchor,1,16.3883,15.4943,15.1592,14.2639,1.0,-10.4804,-0.0006,0.0015,39.6,-962.9673,79.4822,False,3.7537,True,16.3883,False
BAJFINANCE,ITC,Financials,FMCG,False,cross-sector — no economic anchor,0,16.016,15.4943,12.2009,14.2639,,,,,,,,False,4.8592,False,16.016,False
HDFCBANK,BAJFINANCE,Financials,Financials,True,"shared rate cycle, credit growth & deposit dynamics",0,15.9488,15.4943,12.001,14.2639,,,,,,,,False,8.791,False,15.9488,False
HDFCBANK,INFY,Financials,IT,False,cross-sector — no economic anchor,0,15.8684,15.4943,11.2188,14.2639,,,,,,,,True,18.3746,False,15.8684,False
AXISBANK,DRREDDY,Financials,Pharma,False,cross-sector — no economic anchor,1,15.855,15.4943,14.7543,14.2639,1.0,-0.2577,-0.0146,0.0084,38.8,71.6394,5.7002,False,5.8703,True,15.855,False
INFY,ITC,IT,FMCG,False,cross-sector — no economic anchor,0,15.8249,15.4943,9.8542,14.2639,,,,,,,,False,7.1947,False,15.8249,False
ITC,SUNPHARMA,FMCG,Pharma,False,cross-sector — no economic anchor,0,15.7211,15.4943,11.7853,14.2639,,,,,,,,False,5.0214,False,15.7211,False
BAJFINANCE,SUNPHARMA,Financials,Pharma,False,cross-sector — no economic anchor,0,15.7125,15.4943,12.382,14.2639,,,,,,,,False,12.3386,False,15.7125,False
RELIANCE,INFY,Energy,IT,False,cross-sector — no economic anchor,0,15.4171,15.4943,12.108,14.2639,,,,,,,,False,9.1383,False,15.4171,False
ICICIBANK,INFY,Financials,IT,False,cross-sector — no economic anchor,0,15.3984,15.4943,11.1564,14.2639,,,,,,,,False,10.82,False,15.3984,False
ICICIBANK,AXISBANK,Financials,Financials,True,"shared rate cycle, credit growth & deposit dynamics",0,15.324,15.4943,11.2338,14.2639,,,,,,,,False,9.4345,False,15.324,False
MARUTI,ONGC,Auto,Energy,False,cross-sector — no economic anchor,0,15.3106,15.4943,13.1192,14.2639,,,,,,,,False,10.75,False,15.3106,False
ONGC,WIPRO,Energy,IT,False,cross-sector — no economic anchor,0,15.1227,15.4943,13.239,14.2639,,,,,,,,False,3.1375,False,15.1227,False
TCS,WIPRO,IT,IT,True,shared USD/INR & global tech-spend exposure,0,15.1091,15.4943,12.882,14.2639,,,,,,,,False,13.3584,False,15.1091,False
RELIANCE,BAJFINANCE,Energy,Financials,False,cross-sector — no economic anchor,0,14.8617,15.4943,11.5183,14.2639,,,,,,,,False,5.27,False,14.8617,False
RELIANCE,AXISBANK,Energy,Financials,False,cross-sector — no economic anchor,0,14.445,15.4943,11.0262,14.2639,,,,,,,,False,6.4403,False,14.445,False
