Date,mkt_return,india_vix,momentum_sharpe,regime_int,regime_name
2019-07-10,-0.0052026867732649,0.13635,-0.252676668361546,0,Sideways
2019-07-11,0.0070205571963504,0.1247,-0.20460408836749275,0,Sideways
2019-07-12,-0.0028859790409095,0.119975,-0.1765411364760217,0,Sideways
2019-07-15,0.002840449131296,0.1202,-0.08156770274644375,0,Sideways
2019-07-16,0.0061289212243191,0.11560000000000001,-0.04945469177077417,0,Sideways
2019-07-17,0.0018748509730962,0.11800000000000001,-0.03553385815650726,0,Sideways
2019-07-18,-0.0080399764215038,0.1175,-0.17078683636870268,0,Sideways
2019-07-19,-0.0156952633936505,0.12515,-0.20031628331147888,0,Sideways
2019-07-22,-0.0066755610028731,0.1301,-0.22551069634889362,0,Sideways
2019-07-23,-0.0015941120035615,0.134275,-0.2984951584362355,0,Sideways
2019-07-24,-0.0055450097738516,0.1276,-0.36739119702847384,0,Sideways
2019-07-25,-0.0019583348492584,0.12635,-0.3759614192582592,0,Sideways
2019-07-26,0.002595169069247,0.121325,-0.3235767389769897,0,Sideways
2019-07-29,-0.0087212534831992,0.130625,-0.4319940571471511,0,Sideways
2019-07-30,-0.0095780188732804,0.136125,-0.5236768781931541,0,Sideways
2019-07-31,0.0026785175690392,0.1359,-0.5012429308431827,0,Sideways
2019-08-01,-0.0127479169578296,0.14557499999999998,-0.5925383527257826,0,Sideways
2019-08-02,0.0013209265749626,0.151875,-0.5128807303528587,0,Sideways
2019-08-05,-0.0125865750997391,0.16585,-0.5167104175317248,0,Sideways
2019-08-06,0.0075960290583404,0.1612,-0.4267100619519605,0,Sideways
2019-08-07,-0.0087656986545393,0.1674,-0.44561285189733646,0,Sideways
2019-08-08,0.015911147290305,0.160925,-0.33917280679851375,0,Sideways
2019-08-09,0.0067152508675288,0.15845,-0.26942148973252317,0,Sideways
2019-08-13,-0.0169405662673633,0.177775,-0.3660918016229174,0,Sideways
2019-08-14,0.0091750281893459,0.16357500000000003,-0.3410541469556073,0,Sideways
2019-08-16,0.0014088888285787,0.166475,-0.34415711597256904,0,Sideways
2019-08-19,0.0002941102611826,0.16747499999999998,-0.29914495981953654,0,Sideways
2019-08-20,-0.0036017443593609,0.166325,-0.24597856506221047,0,Sideways
2019-08-21,-0.0092205373669938,0.17022500000000002,-0.25835229075168986,0,Sideways
2019-08-22,-0.0166341268679107,0.178525,-0.32463832831231865,0,Sideways
2019-08-23,0.0079013250267094,0.173475,-0.24233811333956226,0,Sideways
2019-08-26,0.0206226064767404,0.16655,-0.10618700160866595,0,Sideways
2019-08-27,0.0040284548436197,0.16010000000000002,-0.09915482269765807,0,Sideways
2019-08-28,-0.0056074863919771,0.16835,-0.08531703810714152,0,Sideways
2019-08-29,-0.0091511504049478,0.16425,-0.08343955162746527,0,Sideways
2019-08-30,0.0065645668385545,0.162825,-0.06438349068164956,0,Sideways
2019-09-03,-0.0209129081281784,0.18055,-0.09701689987258831,0,Sideways
2019-09-04,0.0040622633783733,0.17235,-0.08450745093729002,0,Sideways
2019-09-05,4.170552651958987e-05,0.17272500000000002,-0.02963166647305282,0,Sideways
2019-09-06,0.0087628965287876,0.16274999999999998,-0.024218575215293667,0,Sideways
2019-09-09,0.0049221709215052,0.158525,0.03824514277300488,0,Sideways
2019-09-11,0.0027050640717235,0.153725,-0.02360939144532985,0,Sideways
2019-09-12,-0.005063031533433,0.149,-0.08142916882066689,0,Sideways
2019-09-13,0.0081832806018117,0.1412,0.04388258080346546,0,Sideways
2019-09-16,-0.0068161445063002,0.14952500000000002,-0.03926657259290616,0,Sideways
2019-09-17,-0.0172969392712487,0.16017499999999998,-0.12766112698587018,0,Sideways
2019-09-18,0.0018706555946946,0.153525,-0.11976222970812617,0,Sideways
2019-09-19,-0.0128687090913862,0.1555,-0.15989079292673192,0,Sideways
2019-09-20,0.0515667894872077,0.154,0.08517241989216373,2,Bear
2019-09-23,0.0282474729135898,0.167925,0.22049842486824273,2,Bear
2019-09-24,-0.0012929368416445,0.16732500000000003,0.1922291615952011,1,Bull
2019-09-25,-0.0131118069654317,0.1617,0.0894734234497816,1,Bull
2019-09-26,0.0111278473180764,0.16342500000000001,0.11055896414283296,1,Bull
2019-09-27,-0.0053524564588749,0.16115,0.11138486780809596,1,Bull
2019-09-30,-0.0035598442355956,0.158725,0.1298020306695906,1,Bull
2019-10-01,-0.0102911332204766,0.167575,0.07651486105689789,1,Bull
2019-10-03,-0.004306684410637,0.17702500000000002,0.1339480100771505,1,Bull
2019-10-04,-0.0126420645441639,0.17579999999999998,0.07838396630268078,1,Bull
2019-10-07,-0.0045940074533269,0.1783,0.06353763202701858,1,Bull
2019-10-09,0.0164003730464171,0.17155,0.08602702230059349,1,Bull
2019-10-10,-0.0072431099560288,0.17227499999999998,0.04815513006493705,1,Bull
2019-10-11,0.0059977407117975,0.1714,0.05814588762975046,1,Bull
2019-10-14,0.0029302907624866,0.1743,0.08295696686818742,1,Bull
2019-10-15,0.0073970432025816,0.1685,0.08061842158288635,1,Bull
2019-10-16,0.0028610357716514,0.1636,0.11119975665836102,1,Bull
2019-10-17,0.0103580203428819,0.158775,0.20392643185541784,1,Bull
2019-10-18,0.0062372130488739,0.159275,0.21779160842050715,1,Bull
