ticker,feature,mean_abs_shap,shap_today
SUNPHARMA,resid_zscore_20d,0.004399,0.001118
SUNPHARMA,resid_rank_20d,0.00187,-0.000788
SUNPHARMA,resid_cum5d,0.014229,-0.004959
SUNPHARMA,resid_cum10d,0.013371,0.011491
SUNPHARMA,factor_MKT,0.017938,0.016857
SUNPHARMA,factor_SMB,0.00779,-0.029305
SUNPHARMA,factor_HML,0.022305,-0.019135
SUNPHARMA,factor_RMW,0.005522,0.013312
SUNPHARMA,factor_CMA,0.020586,-0.042238
SUNPHARMA,regime,0.002654,-0.003091
SUNPHARMA,is_black_swan,0.0,0.0
SUNPHARMA,days_since_black_swan,0.007384,-0.012374
WIPRO,resid_lag1,0.0,0.0
WIPRO,resid_lag2,0.000255,-0.000115
WIPRO,resid_lag3,0.010966,0.019243
WIPRO,resid_lag5,0.0,0.0
WIPRO,resid_lag10,0.00028,-0.000157
WIPRO,resid_vol5d,0.001623,0.000938
WIPRO,resid_vol20d,0.0,0.0
WIPRO,resid_sq_lag1,0.0,0.0
WIPRO,resid_zscore_20d,0.001753,0.002518
WIPRO,resid_rank_20d,3.9e-05,6.3e-05
WIPRO,resid_cum5d,0.000688,0.000303
WIPRO,resid_cum10d,0.0,0.0
WIPRO,factor_MKT,0.002051,0.001373
WIPRO,factor_SMB,0.002125,0.001144
WIPRO,factor_HML,0.0,0.0
WIPRO,factor_RMW,0.002823,0.005601
WIPRO,factor_CMA,0.002397,-0.001177
WIPRO,regime,0.0,0.0
WIPRO,is_black_swan,0.0,0.0
WIPRO,days_since_black_swan,0.00077,0.00056
