Date,dcc_avg_corr
2019-06-18,0.23819950000464077
2019-06-19,0.23737258637207
2019-06-20,0.23711297412763144
2019-06-21,0.23730485088563322
2019-06-24,0.23962576511277198
2019-06-25,0.239416759140774
2019-06-26,0.24000849251803227
2019-06-27,0.23946941250714487
2019-06-28,0.23859938516175436
2019-07-01,0.23819337518472622
2019-07-02,0.23712229188145065
2019-07-03,0.23648198023872719
2019-07-04,0.23639630161357678
2019-07-05,0.23651103983510224
2019-07-08,0.2404171570932551
2019-07-09,0.24902888436141274
2019-07-10,0.24640868321749443
2019-07-11,0.24583984166110182
2019-07-12,0.24580964435712377
2019-07-15,0.24548707701259698
2019-07-16,0.2424084278737469
2019-07-17,0.24269450265061704
2019-07-18,0.24222728327007134
2019-07-19,0.24132353073210386
2019-07-22,0.2447024002219812
2019-07-23,0.24120514250266437
2019-07-24,0.24046889818219844
2019-07-25,0.23996129391865223
2019-07-26,0.2383262288492707
2019-07-29,0.23696996859735162
2019-07-30,0.23537123890113257
2019-07-31,0.23465572915192148
2019-08-01,0.23259283880893636
2019-08-02,0.2320322483194275
2019-08-05,0.2311907571846414
2019-08-06,0.23218101265944466
2019-08-07,0.23131650999363387
2019-08-08,0.23045725201055597
2019-08-09,0.2344753350986481
2019-08-13,0.23369986763981637
2019-08-14,0.23083538225803168
2019-08-16,0.22905194620256691
2019-08-19,0.22849827053954705
2019-08-20,0.22836756166827324
2019-08-21,0.22708087816607664
2019-08-22,0.2277219626147977
2019-08-23,0.22696964669451067
2019-08-26,0.22661649411918047
2019-08-27,0.22736076022378207
2019-08-28,0.22686657228579515
2019-08-29,0.22746452453569097
2019-08-30,0.22625574426685996
2019-09-03,0.22800169340583887
2019-09-04,0.23270607499878918
2019-09-05,0.23141768893612638
2019-09-06,0.2306281432876946
2019-09-09,0.23014121528702203
2019-09-11,0.23023311575826386
2019-09-12,0.22924041854935498
2019-09-13,0.2292514954857581
2019-09-16,0.2291535126998292
2019-09-17,0.2292078856745776
2019-09-18,0.2311936148828053
2019-09-19,0.23093358921377308
2019-09-20,0.2342716131912025
2019-09-23,0.25409158934348147
2019-09-24,0.24525237248617412
2019-09-25,0.24458062798760005
2019-09-26,0.2442736229602854
2019-09-27,0.2440625099144226
2019-09-30,0.24406597894561466
2019-10-01,0.2422434192613262
2019-10-03,0.24297662395474462
2019-10-04,0.24248919961086338
2019-10-07,0.24240646564730786
2019-10-09,0.24224129477648512
2019-10-10,0.24160065061935934
2019-10-11,0.24077016762580225
2019-10-14,0.24056107352030276
2019-10-15,0.23964588183787594
2019-10-16,0.24009631781714436
2019-10-17,0.23992743427042412
2019-10-18,0.24082433414781002
2019-10-22,0.24090934457076502
2019-10-23,0.23229398853141875
2019-10-24,0.2320359951231438
2019-10-25,0.23128821653148535
2019-10-27,0.23049835380723965
2019-10-29,0.23053375952335003
2019-10-30,0.23453647807641073
